"question","actual_answer","category","table_id","predicted_answer"
"At what age does Adolf von Baeyer received Nobel Prize?","69","nobel","369","Adolf von Baeyer received the Nobel Prize in Chemistry in 1905 at the age of 70."
"How many children's did Adolf von Baeyer have?","3","nobel","369","Three."
"How many years before Johann Friedrich Wilhelm Adolf Baeyer's death did he win the Nobel Prize for Chemistry?","12","nobel","369","Adolf Baeyer won the Nobel Prize for Chemistry in 1905, and he died in 1917, so the answer is 12 years."
"At what age did Johann Friedrich Wilhelm Adolf Baeyer win the Davy Medal?","51","nobel","369","56 years old"
"How many years after marrying his spouse did Johann Friedrich Wilhelm Adolf Baeyer win the Liebig Medal?","35","nobel","369","It was 35 years after marrying his spouse that Adolf von Baeyer won the Liebig Medal."
"how many spouses does Albert A. Michelson have?","2","nobel","370","Two. Albert A. Michelson was married twice: first to Margaret Hemingway, with whom he had three children, and then to Edna Stanton, with whom he also had three children."
"What award did Albert A. Michelson receive in 1907?","Nobel Prize in Physics","nobel","370","Nobel Prize in Physics"
"At what age Albert A. Michelson married his first wife Margaret Hemingway?","24","nobel","370","Albert A. Michelson married his first wife Margaret Hemingway in 1877, when he was 25 years old."
"How many children's does Albert A. Michelson have in total?","6","nobel","370","Albert A. Michelson has 6 children in total."
"When did Albert A. Michelson marry Edna Stanton?","1899","nobel","370","Albert A. Michelson married Edna Stanton in 1899."
"How many children did he  have?","6","nobel","370","He had 6 children."
"How old was he when he won the Nobel Prize?","55","nobel","370","He was 55 years old when he won the Nobel Prize in Physics in 1907."
"What was the name of the spouse Albert A. Michelson married in 1877?","Margaret Hemingway","nobel","370","Margaret Hemingway"
"At what age Albert A. Michelson die?","78","nobel","370","78 years old"
"How many children's does Albert A. Michelson have?","6","nobel","370","Albert A. Michelson has 3 children."
"How many years after his divorce did Albert A. Michelson get remarried?","1 year","nobel","370","Albert A. Michelson got remarried 1 year after his divorce."
"At what age Albert A. Michelson married his second wife Edna Stanton?","46","nobel","370","Albert A. Michelson married his second wife Edna Stanton in 1899, when he was 47 years old."
"How old was Albert A. Michelson when he got married for the first time?","25 years old","nobel","370","25 years old"
"Who was Albert A. Michelson married to when he won the Nobel Prize in Physics?","Edna Stanton","nobel","370","Edna Stanton"
"How many years between his first award and last award?","26","nobel","370","The answer to the question ""How many years between his first award and last award?"" is 27 years.Albert A. Michelson's first award was the Matteucci Medal in 1903, and his last award was the Duddell Medal and Prize in 1929, therefore the difference between the two dates is 27 years."
"What MLB team did Art Wilson spend the most time playing for?","New York Giants","baseball","400","Cleveland Indians"
"What year did Art Wilson play for the Cleveland Indians?","1921","baseball","400","1921"
"How old was Art Wilson when he made his MLB debut in 1908?","23 years old","baseball","400","22 years old"
"How much longer did Wilson play for the New York Giants than the Boston Braves?","3 years","baseball","400","Wilson played for the New York Giants for 6 years (1908-1913), and for the Boston Braves for 3 years (1918-1920), so he played for the Giants 2 years longer than he played for the Braves."
"How long after his last MLB appearance did Wilson die?","39 years","baseball","400","39 years"
"What was the first team in the Major League that Art Wilson played for?","New York Giants","baseball","400","New York Giants"
"How many years did Art Wilson play for MLB?","13 years","baseball","400","13 years"
"How many years after his MLB debut did Art Wilson play for the Pittsburgh Pirates?","8","baseball","400","4 years"
"What was Art Wilson's last year playing in the Major League?","1921","baseball","400","Sure! Here's the answer to the question:1921"
"How many years did Babe Young play for MLB?","12 years","baseball","401","Babe Young played for 13 years in MLB."
"How old was Young when he made his MLB debut?","21","baseball","401","21 years old"
"How many years longer did Young play for the New York Giants the second time than for the Cincinnati Reds?","2","baseball","401","2 years"
"How many years after his final MLB appearance did Young die?","35","baseball","401","35 years"
"What year did Babe Young make his MBL debut?","1936","baseball","401","1936"
"Which team did Babe Young was represented in 1940?","New York Giants","baseball","401","St. Louis Cardinals"
"How old was Babe Young when he began his career with MLB?","21 years old","baseball","401","21 years old"
"How many years did Babe Young was played for Cincinnati Reds?","2 Years","baseball","401","2 years"
"What was the age of Babe Young When he played MLB debut?","Age of 21","baseball","401","21 years old"
"How long after McCoy made his last MLB appearance did he die?","70 years","baseball","405","Benny McCoy died on November 9, 2011, which was 70 years after his last MLB appearance on September 28, 1941."
"How long after making his MLB debut did McCoy play for the Philadelphia Athletics?","2 years","baseball","405","3 years"
"How old was McCoy when he made his MLB debut?","23","baseball","405","22 years old"
"What was the first professional baseball team that Benny McCoy played for?","Detroit Tigers","baseball","405","Detroit Tigers"
"For how many years did Benny McCoy play professional baseball?","3","baseball","405","4 years"
"How many total years did Benny McCoy for MLB?","3 years","baseball","405","3 years"
"When was the last season that Benny McCoy played professionally?","1941","baseball","405","1941"
"How old was Benny McCoy when he made his MLB debut?","23 years old","baseball","405","22 years old"
"How may years did Benny McCoy play for the Detroit Tigers?","1 year","baseball","405","2 years"
"How many years ago did Current constitution was established in Brazil?","34 Years ago (1988)","country","424","The current constitution of Brazil was established on October 5, 1988, which is 34 years ago as of 2022."
"How many years ago did Brazil was declared as republic?","133 years ago (1889)","country","424","The answer to the question ""How many years ago did Brazil was declared as republic?"" is:15 November 1889 - 2022 = 133 years ago"
"Who was the most Ethnic groups in Federative Republic of Brazil 2010?","White (47.73%)","country","424","According to the 2010 census, the ethnic groups in Federative Republic of Brazil were:* White: 47.73%* Mixed: 43.13%* Black: 7.61%* East Asian: 1.09%* Indigenous: 0.43%Therefore, the most ethnic group in Brazil in 2010 was the White population, which made up 47.73% of the total population."
"How many years were between the end of the reign of the last monarch and when Denmark-Norway was established?","14","empire","430","The end of the reign of the last monarch of the Kalmar Union, Christian II, was in 1523. Denmark-Norway was established in 1537, so the difference between the two dates is 14 years."
"How many colors were on the Banner of the realms of the Kalmar Union?","two","empire","430","The Banner of the realms of the Kalmar Union had 4 colors:1. Red2. White3. Blue4. Yellow"
"How long did the Kalmar Union last?","140 years","empire","430","The Kalmar Union lasted for approximately 140 years, from 1397 to 1537."
"Who was the first monarch to rule Kalmar Union in 1397?","Eric of Pomerania","empire","430","Eric of Pomerania"
"How many years did the last monarch of the Kalmar Union rule?","10 years","empire","430","Christian II ruled the Kalmar Union for 10 years, from 1513 to 1523."
"How long after the inception of The Kalmar Union did the reign of Eric of Pomerania end?","35 years","empire","430","The reign of Eric of Pomerania ended in 1442, 45 years after the inception of the Kalmar Union in 1397."
"Who was the monarch during the Stockholm Bloodbath?","Christian II","empire","430","Christian II"
"How many kingdoms preceded the Kalmar Union?","three","empire","430","Three kingdoms preceded the Kalmar Union:1. Kingdom of Denmark2. Kingdom of Norway3. Kingdom of Sweden"
"How many years long was in the last reign of the Kalmar Union?","10","empire","430","The last reign of the Kalmar Union lasted for 14 years, from 1513 to 1523."
"How many Prime Ministers did the Mexican Empire have?","one","empire","433","The Mexican Empire had 1 Prime Minister, José Manuel de Herrera, who served from 1822 to 1823."
"How many years was José Manuel de Herrera the Prime Minister of Mexican Empire?","1 year","empire","433","José Manuel de Herrera was the Prime Minister of Mexican Empire for 1 year, from 1822 to 1823."
"How many months after the Plan of Iguala did the Independence of Mexico happen?","seven","empire","433","The Independence of Mexico happened 7 months after the Plan of Iguala."
"How many countries preceded the Mexican Empire?","one","empire","433","There were 5 countries that preceded the Mexican Empire:1. New Spain2. Provisional Government of Mexico3. Federal Republic of Central America4. British Honduras5. Mosquito Coast"
"How many years did the Mexican Empire last?","2 years","empire","433","The Mexican Empire lasted for 2 years, from 1821 to 1823."
"Who was the emperor of the Mexican Empire in 1822?","Agustin I","empire","433","José Manuel de Herrera"
